#OTU ID	PHB3.MID46-48.P1.apr13_ncdenovo	S1HB3.MID102-102.P1.nov13_ncdenovo	S1HB3.MID109-109.P3.jan14_ncdenovo	S1HB3.MID96-96.P1.dec13_ncdenovo	S1HB3.MID110-110.P1.jan14_ncdenovo	S1HB3.MID110-110.P1.jan14_otuclust	S1HB3.MID96-96.P1.dec13_otuclust	S1HB3.MID102-102.P1.nov13_otuclust	S1HB3.MID109-109.P3.jan14_otuclust	PHB3.MID46-48.P1.apr13_otuclust	S1HB3.MID109-109.P3.jan14_ncref	S1HB3.MID96-96.P1.dec13_ncref	S1HB3.MID110-110.P1.jan14_ncref	S1HB3.MID102-102.P1.nov13_ncref	PHB3.MID46-48.P1.apr13_ncref	S1HB3.MID110-110.P1.jan14	S1HB3.MID109-109.P3.jan14	PHB3.MID46-48.P1.apr13	S1HB3.MID102-102.P1.nov13	S1HB3.MID96-96.P1.dec13
M01896:2:000000000-A69JN:1:1117:25739:18532	1597	4725	3170	781	2025	2	1	1	2	1	3170	781	2025	4725	1597	3353	5229	2709	6859	1506
M01896:2:000000000-A69JN:1:1105:10771:10259	1576	6107	1748	1021	1950	1	1	1	1	1	1748	1021	1950	6109	1576	3418	3120	2599	8814	1902
M01896:15:000000000-A7EN9:1:2110:23920:22798	751	2544	803	373	620	1	1	1	1	1	807	373	615	2546	751	1396	1802	1461	4309	810
M00595:54:000000000-A7CT0:1:2102:13936:14111	711	2690	919	512	858	1	1	2	1	1	919	512	862	2690	711	1500	1560	1272	3935	919
M00595:54:000000000-A7CT0:1:1101:14894:3987	680	1296	754	867	646	1	1	1	1	1	754	867	646	1300	680	1128	1374	1155	2107	1531
M01896:2:000000000-A69JN:1:2110:17836:2729	703	1037	303	573	391	1	1	1	1	1	303	573	391	1037	703	723	620	1206	1628	1037
M01896:2:000000000-A69JN:1:2114:7858:6525	74	267	47	5	27	1	1	1	1	1	47	5	27	267	74	53	135	160	506	11
M00595:42:000000000-A5J1T:1:2118:5972:12370	447	552	208	287	224	1	1	1	1	1	210	289	224	555	451	542	505	909	1063	672
M00595:54:000000000-A7CT0:1:2110:14602:17236	561	1779	996	740	539	1	1	1	1	1	996	740	539	1779	561	955	1764	986	2672	1241
M01896:15:000000000-A7EN9:1:1113:13754:18743	405	721	245	413	352	1	1	1	1	1	245	415	352	725	405	695	609	761	1241	859
M00595:54:000000000-A7CT0:1:1113:12371:15671	256	403	133	208	135	1	1	1	1	1	135	208	135	401	256	325	326	524	831	464
M00595:54:000000000-A7CT0:1:2119:21019:21058	343	1219	558	66	197	1	1	1	1	1	558	66	197	1219	343	416	1058	613	1944	132
M00595:54:000000000-A7CT0:1:2118:24967:17422	338	783	477	394	238	1	1	1	1	1	475	394	238	785	338	561	989	669	1363	751
M00595:42:000000000-A5J1T:1:2109:12829:8776	512	838	132	266	137	1	1	1	1	1	132	268	137	838	512	467	506	1206	1985	773
M00595:42:000000000-A5J1T:1:2113:12729:10962	251	1129	267	113	264	1	1	1	1	1	267	113	264	1127	251	626	662	513	2040	307
M00595:54:000000000-A7CT0:1:1108:12019:12136	291	508	168	242	171	1	1	1	1	1	168	244	171	504	291	427	445	609	1041	609
M00595:54:000000000-A7CT0:1:2106:25583:12560	532	1127	399	398	403	1	1	1	1	1	399	398	403	1127	532	1009	957	1183	2164	1061
M01896:14:000000000-A7ERE:1:2110:16399:20153	258	415	107	193	131	1	1	1	1	1	107	193	129	415	258	339	301	554	794	458
M01896:2:000000000-A69JN:1:1111:16159:13244	538	1589	565	289	527	1	1	1	1	1	567	289	527	1589	538	1140	1160	995	2668	652
M01896:14:000000000-A7ERE:1:1116:8588:17805	238	966	294	111	277	1	1	1	1	1	294	111	277	966	238	685	801	543	1924	302
M00595:54:000000000-A7CT0:1:2110:14693:15849	425	1978	560	257	609	1	1	1	1	1	560	257	609	1976	425	1131	1096	823	3067	583
M01896:2:000000000-A69JN:1:2119:18333:15352	50	172	87	25	31	1	1	1	1	1	87	25	31	172	50	78	203	99	375	66
M01896:2:000000000-A69JN:1:2119:6921:8452	252	1090	302	129	259	1	1	1	1	1	302	137	270	1077	252	690	711	555	1997	334
M00595:42:000000000-A5J1T:1:1102:21813:22385	199	307	110	170	90	1	1	1	1	1	110	170	90	307	199	207	248	372	598	346
M01896:2:000000000-A69JN:1:1104:23093:19388	200	449	98	160	112	1	2	1	1	1	98	160	114	449	200	295	255	429	863	393
M01896:2:000000000-A69JN:1:2115:26093:7581	202	288	163	245	289	1	1	1	1	1	163	245	289	288	202	630	391	451	602	531
M00595:42:000000000-A5J1T:1:1109:10568:4527	96	131	10	26	13	1	1	1	1	1	10	26	15	131	96	74	62	294	448	97
M00595:54:000000000-A7CT0:1:2110:22525:11223	255	724	135	384	244	1	1	1	1	1	135	386	244	726	255	493	303	511	1221	794
M00595:42:000000000-A5J1T:1:1115:21420:14530	45	71	5	6	8	1	1	1	1	1	5	6	8	71	45	42	31	125	222	34
M01896:14:000000000-A7ERE:1:1114:23479:10794	224	457	114	191	171	1	1	1	1	1	114	189	173	457	224	434	295	463	924	527
M01896:15:000000000-A7EN9:1:1109:11341:10167	304	644	178	382	193	1	1	1	1	1	178	390	193	648	304	394	411	596	1175	796
M01896:2:000000000-A69JN:1:2119:24482:13604	406	2595	546	323	603	1	1	1	1	1	546	323	601	2602	406	1215	1091	771	3954	726
M01896:14:000000000-A7ERE:1:2117:5259:13066	301	539	197	291	244	1	1	1	1	1	197	291	244	539	301	547	491	651	988	676
M01896:15:000000000-A7EN9:1:2106:10126:2504	228	362	87	238	133	1	1	1	1	1	87	238	133	360	228	368	223	495	741	545
M01896:15:000000000-A7EN9:1:2106:10212:18012	187	534	62	93	104	1	1	1	1	1	62	93	104	534	187	358	282	434	1324	284
M00595:42:000000000-A5J1T:1:2109:17167:8537	269	394	159	236	157	0	0	0	0	0	159	238	157	394	269	380	380	586	801	488
M01896:2:000000000-A69JN:1:1107:11120:3637	123	394	66	135	148	1	1	1	1	1	72	140	161	401	123	387	185	285	772	362
M00595:42:000000000-A5J1T:1:1117:22257:4518	3	34	2	0	0	0	0	1	1	1	2	0	0	34	3	0	8	7	66	0
	6	5	2	0	0	0	0	2	1	2	2	0	0	5	6	7	6	10	18	1
M01896:2:000000000-A69JN:1:1111:12461:21161	2	2	0	0	2	0	0	0	0	0	0	0	2	2	2	4	7	6	10	4
M01896:14:000000000-A7ERE:1:1111:28389:19028	2	39	11	2	3	1	1	1	1	1	11	2	3	39	2	16	27	5	98	8
M00595:42:000000000-A5J1T:1:2107:12676:10976	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0
M01896:2:000000000-A69JN:1:1103:9733:5174	2	15	0	0	0	0	0	1	0	1	0	0	0	15	2	0	0	4	24	0
M01896:2:000000000-A69JN:1:1104:12210:17044	0	58	0	0	0	0	0	0	0	0	0	0	0	58	0	0	1	0	4	0
M01896:2:000000000-A69JN:1:2119:18488:18896	0	20	2	0	0	0	0	1	1	0	2	0	0	20	0	1	12	5	46	1
M01896:2:000000000-A69JN:1:2115:15655:12673	0	6	0	0	0	0	0	0	0	0	0	0	2	6	0	1	0	0	5	0
M01896:2:000000000-A69JN:1:1105:17325:11617	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M01896:2:000000000-A69JN:1:1117:7270:5752	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1108:8735:20276	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2112:25648:20489	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0
M01896:2:000000000-A69JN:1:1101:7717:2618	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0
M01896:2:000000000-A69JN:1:1111:3652:14809	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2102:9207:8262	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1111:20260:9776	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
M01896:2:000000000-A69JN:1:2109:16611:14954	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1109:23179:9208	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	0
M01896:2:000000000-A69JN:1:1103:6399:12284	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1104:14516:21621	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:1116:26623:13903	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0
M01896:2:000000000-A69JN:1:1106:2993:15005	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	3	0
M01896:2:000000000-A69JN:1:1108:16553:5099	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	13	1
M01896:2:000000000-A69JN:1:2110:24583:2447	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
M01896:2:000000000-A69JN:1:2117:24617:7650	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	5	1
M01896:2:000000000-A69JN:1:1106:27650:14997	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	4	6	13	24	2
M01896:2:000000000-A69JN:1:1108:8012:3372	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0
M01896:2:000000000-A69JN:1:2112:4244:6274	0	0	2	0	0	0	0	0	0	0	6	0	0	37	0	23	45	5	103	9
M01896:14:000000000-A7ERE:1:2107:24795:14989	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	7	1	5	1
M01896:15:000000000-A7EN9:1:2101:14442:11430	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M01896:14:000000000-A7ERE:1:1114:21530:3878	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
M00595:54:000000000-A7CT0:1:2111:20242:19639	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
M01896:14:000000000-A7ERE:1:1108:28353:9951	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	3	6	2	9	8
M00595:54:000000000-A7CT0:1:2115:12373:15144	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	3	1	1	3	3
M01896:14:000000000-A7ERE:1:2110:9054:4192	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
M01896:15:000000000-A7EN9:1:2103:19455:9443	0	0	0	0	3	0	0	0	0	0	0	2	3	0	0	1	0	0	0	3
M01896:14:000000000-A7ERE:1:2118:4071:8336	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0
M01896:15:000000000-A7EN9:1:1101:15343:7295	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	1	0	15	0
M01896:15:000000000-A7EN9:1:1101:6380:6336	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	6	1	0	7	3
M01896:15:000000000-A7EN9:1:2103:11598:21453	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0
M01896:2:000000000-A69JN:1:2113:9086:23112	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	3
M01896:2:000000000-A69JN:1:1116:25884:5612	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	3	3	0	5	0
M01896:15:000000000-A7EN9:1:2110:25099:20143	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0
